,BECL_01,BECL_03,CEDR_01,CEDR_03,INTI_01,INTI_02,MALO_01,MALO_02,MAPI_01,MAPI_02,MIND_01,RIBR_01,VERD_01,VERD_02,VERD_03,YANA_01
BECL_01,0,,,,,,,,,,,,,,,
BECL_03,0.5948333,0,,,,,,,,,,,,,,
CEDR_01,0.6974806,0.6233667,0,,,,,,,,,,,,,
CEDR_03,0.5123648,0.5505756,0.4831248,0,,,,,,,,,,,,
INTI_01,0.9447299,0.8551895,0.9191903,0.8798459,0,,,,,,,,,,,
INTI_02,0.7136705,0.5520666,0.7051395,0.5424918,0.69997,0,,,,,,,,,,
MALO_01,0.9692567,0.8993711,0.941056,0.9237969,0.4415442,0.8105486,0,,,,,,,,,
MALO_02,0.835631,0.6402159,0.8110645,0.7165921,0.6396585,0.514332,0.653496,0,,,,,,,,
MAPI_01,0.9211616,0.7953357,0.8661787,0.8272678,0.49819,0.6326876,0.3955404,0.3877108,0,,,,,,,
MAPI_02,0.8987418,0.7300414,0.8734861,0.7826921,0.6481259,0.5524187,0.6550638,0.3058042,0.3942414,0,,,,,,
MIND_01,0.5899045,0.4735123,0.5962492,0.4249329,0.8563564,0.4532197,0.899709,0.6150926,0.7734164,0.6686459,0,,,,,
RIBR_01,0.6009608,0.6195357,0.5639616,0.5630355,0.94877,0.7694796,0.9645827,0.8176203,0.9227465,0.9298405,0.678229,0,,,,
VERD_01,0.9053401,0.788103,0.7831767,0.843847,0.9992115,0.9231718,0.9980839,0.9548564,0.9810983,1,0.8804982,0.7878042,0,,,
VERD_02,0.8615897,0.8812127,0.6744164,0.7616109,0.9749358,0.8815847,0.9816103,0.9415372,0.959974,0.9674672,0.807053,0.7750419,0.8576432,0,,
VERD_03,0.9688501,0.9083695,0.8849722,0.9278033,1,0.9710087,0.9999609,0.9814791,0.9988191,1,0.9842931,0.7954144,0.7017454,0.9227507,0,
YANA_01,0.9320717,0.9773386,0.9215219,0.9539722,0.9999038,0.9759789,0.9997158,0.9911488,0.9965485,1,0.9512981,0.9090941,0.895932,0.8254065,0.9751123,0
