Plot,Scientific_name,Scientific_name_plot,Ht2019,LA,SLA,BA,RC_BA
BECL_03,Aegiphila_aculeifera,Aegiphila_aculeifera_BECL_03,12.68747598,135.1456154,219.5671538,0.021903969,0.147999895
MAPI_01,Aegiphila_alba,Aegiphila_alba_MAPI_01,20.40300896,219.299034,331.9428936,0.826299344,0.90901009
MAPI_02,Aegiphila_alba,Aegiphila_alba_MAPI_02,15.99485104,131.3573333,274.8417778,0.021756315,0.14750022
RIBR_01,Aegiphila_alba,Aegiphila_alba_RIBR_01,12.66678976,215.7671153,198.1036128,0.047665029,0.218323221
INTI_01,Aegiphila_cf_lopez_palacii_var_pubescens,Aegiphila_cf_lopez_palacii_var_pubescens_INTI_01,19.02887079,276.6198661,223.762625,0.131894269,0.363172506
INTI_02,Aegiphila_cf_lopez_palacii_var_pubescens,Aegiphila_cf_lopez_palacii_var_pubescens_INTI_02,13.12801099,271.5568088,384.4513708,0.078587726,0.280335025
BECL_03,Aegiphila_lopez_palacii_var_pubescens,Aegiphila_lopez_palacii_var_pubescens_BECL_03,7.771728938,203.5831715,312.3089286,0.063861511,0.252708352
BECL_01,Aegiphila_monticola,Aegiphila_monticola_BECL_01,18.86884891,285.8568333,202.0326667,0.103906607,0.322345478
VERD_02,Aegiphila_monticola,Aegiphila_monticola_VERD_02,10.27539613,80.67196581,145.8226538,0.417004802,0.64575909
INTI_02,Aiouea_palaciosii,Aiouea_palaciosii_INTI_02,10.43042599,154.0680081,178.3804777,0.126718495,0.355975413
RIBR_01,Alchornea_cf_bogotensis,Alchornea_cf_bogotensis_RIBR_01,17.0388338,43.24129167,134.8711923,0.084852062,0.291293773
MAPI_01,Alchornea_cf_triplinervia,Alchornea_cf_triplinervia_MAPI_01,7.42775755,62.18469231,192.7540769,0.002733971,0.052287389
CEDR_03,Alchornea_glandulosa,Alchornea_glandulosa_CEDR_03,14.37609335,43.85707692,224.0517949,0.367971605,0.606606631
INTI_02,Alchornea_triplinervia,Alchornea_triplinervia_INTI_02,7,38.18261859,128.0586218,0.001,0.031622777
RIBR_01,Alchornea_triplinervia,Alchornea_triplinervia_RIBR_01,8.108241876,47.60566667,160.529641,0.083343311,0.288692416
VERD_01,Axinaea_macrophylla,Axinaea_macrophylla_VERD_01,8.44612269,34.12025175,108.8473797,1.077778338,1.038161037
VERD_03,Axinaea_macrophylla,Axinaea_macrophylla_VERD_03,9.237250396,24.1855641,78.00798858,0.230288167,0.479883493
