Plot,sp_richn,TD_Hill,FD_Hills_q2,FDis_BA,FEve_BA,FRic_BA,FDiv_BA,FDis_rcBA,FEve_rcBA,FRic_rcBA,FDiv_rcBA,Elevation,PqCaro_Feve_rcBA,PqCaro_FDiv_rcBA,PqCaro_FRic_rcBA,PqCaro_FDis_rcBA,PqCaro_Feve_BA,PqCaro_FDiv_BA,PqCaro_FRic_BA,PqCaro_FDis_BA,FDis_stand,FEve_stand,FRic_stand,FDiv_stand,FDHill_q1_stand,fdis_stand_rcBA,feve_stand_rcBA,fric_stand_rcBA,fdiv_stand_rcBA
BECL_01,13,31.1282,1.700191,0.10270402,0.372487,0.004463619,0.6183553,0.121279046,0.626884,0.004463619,0.692421717,2313,0.6146422,0.7319597,8.671069,1.229363,0.4604894,0.6647958,8.671069,0.9895903,0.10270402,0.372487,0.004463619,0.6183553,1.663691,0.12127905,0.626884,0.004463619,0.6924217
BECL_03,16,28.76248,2.598016,0.19620451,0.31893,0.013417817,0.8180912,0.219709383,0.591973,0.013417816,0.727486255,2203,0.6377412,0.7703949,11.393106,1.481323,0.3873822,0.855601,11.393106,1.3213225,0.19620451,0.31893,0.013417817,0.8180912,2.895545,0.21970938,0.591973,0.013417817,0.7274863
CEDR_01,19,44.50109,2.413954,0.17033497,0.095691,0.007310067,0.8019033,0.145961387,0.369151,0.007310067,0.729381244,2492,0.297196,0.7178003,12.564548,1.298173,0.1089856,0.7652888,12.564548,1.3809758,0.17033497,0.095691,0.007310067,0.8019033,2.421879,0.14596139,0.369151,0.007310067,0.7293812
CEDR_03,20,38.01578,2.221414,0.13376885,0.538941,0.007885979,0.5985443,0.155358788,0.685505,0.007885979,0.642715743,2212,0.7619414,0.7206656,12.091017,1.454842,0.6245183,0.7012376,12.091017,1.3621534,0.13376885,0.538941,0.007885979,0.5985443,2.321537,0.15535879,0.685505,0.007885979,0.6427157
INTI_01,20,44.14003,3.107068,0.21221007,0.531726,0.081536171,0.6045209,0.257406341,0.614461,0.081536171,0.645203982,1879,0.626446,0.6597351,12.403686,1.283703,0.5060316,0.6242545,12.403686,1.0859558,0.21221007,0.531726,0.081536171,0.6045209,3.66113,0.25740634,0.614461,0.081536171,0.645204
INTI_02,25,51.99483,3.748917,0.23170057,0.321275,0.016269792,0.7771094,0.231323851,0.672253,0.016269792,0.768627125,1829,0.7330258,0.7932253,14.058138,1.673639,0.6551166,0.8290028,14.058138,1.8857479,0.23170057,0.321275,0.016269792,0.7771094,4.180772,0.23132385,0.672253,0.016269792,0.7686271
MALO_01,30,76.98875,5.006969,0.28739024,0.584666,0.136534786,0.7738221,0.291162851,0.698666,0.136534786,0.735543087,1018,0.6869751,0.7430907,19.274299,1.458536,0.57627,0.786276,19.274299,1.4267716,0.28739024,0.584666,0.136534786,0.7738221,5.597078,0.29116285,0.698666,0.136534786,0.7355431
MALO_02,33,80.77756,3.478784,0.23187637,0.376196,0.035333351,0.6494775,0.236228044,0.649769,0.035333351,0.672008072,827,0.706579,0.6860604,23.455536,1.48546,0.582039,0.6503272,23.455536,1.4291896,0.23187637,0.376196,0.035333351,0.6494775,4.130708,0.23622804,0.649769,0.035333351,0.6720081
MAPI_01,35,49.5156,3.587135,0.20005935,0.570553,0.061911932,0.68756,0.227715727,0.71954,0.061911932,0.711502923,653,0.7502756,0.7100671,20.819954,1.438579,0.5998366,0.6846996,20.819954,1.2884096,0.20005935,0.570553,0.061911932,0.68756,4.593508,0.22771573,0.71954,0.061911932,0.7115029
MAPI_02,17,52.74247,3.315316,0.24970713,0.517087,0.032352981,0.7903105,0.258855214,0.725099,0.032352981,0.749662612,632,0.7522807,0.7944744,9.145888,1.696119,0.4868246,0.8559427,9.145888,1.8251459,0.24970713,0.517087,0.032352981,0.7903105,3.945173,0.25885521,0.725099,0.032352981,0.7496626
MIND_01,25,62.87105,2.994653,0.22742706,0.53145,0.009046018,0.7947262,0.200880443,0.720439,0.009046018,0.744045009,1277,0.7653838,0.7875916,17.402578,1.686345,0.5825668,0.8274839,17.402578,1.8042436,0.22742706,0.53145,0.009046018,0.7947262,3.102425,0.20088044,0.720439,0.009046018,0.744045
RIBR_01,19,62.49387,1.739856,0.09898166,0.706778,0.004375528,0.7379541,0.117105804,0.793927,0.004375528,0.761836413,1640,0.7809724,0.7750786,11.547935,1.483094,0.7171746,0.7465307,11.547935,1.2392403,0.09898166,0.706778,0.004375528,0.7379541,1.799644,0.1171058,0.793927,0.004375528,0.7618364
VERD_01,12,23.10441,1.870039,0.1269698,0.62976,0.005374211,0.5964333,0.144371936,0.680459,0.005374211,0.610940649,3421,0.6608833,0.5935759,7.210231,1.13593,0.5104414,0.5613096,7.210231,0.9651172,0.1269698,0.62976,0.005374211,0.5964333,1.937306,0.14437194,0.680459,0.005374211,0.6109406
VERD_02,11,36.58882,1.968403,0.15250231,0.495217,0.002359999,0.520415,0.193025222,0.601557,0.002359999,0.574422496,2932,0.6948231,0.7822218,6.584003,1.485226,0.5564502,0.7830255,6.584003,1.3512171,0.15250231,0.495217,0.002359999,0.520415,2.324034,0.19302522,0.601557,0.002359999,0.5744225
