,BECL_01,BECL_03,CEDR_01,CEDR_03,INTI_01,INTI_02,MALO_01,MALO_02,MAPI_01,MAPI_02,MIND_01,RIBR_01,VERD_01,VERD_02,VERD_03,YANA_01
BECL_01,0,,,,,,,,,,,,,,,
BECL_03,0.609195402,0,,,,,,,,,,,,,,
CEDR_01,0.724770642,0.773584906,0,,,,,,,,,,,,,
CEDR_03,0.75257732,0.744680851,0.517241379,0,,,,,,,,,,,,
INTI_01,0.849056604,0.747572816,0.872,0.840707965,0,,,,,,,,,,,
INTI_02,0.86440678,0.808695652,0.883211679,0.856,0.358208955,0,,,,,,,,,,
MALO_01,0.931506849,0.874125874,0.927272727,0.908496732,0.864197531,0.885057471,0,,,,,,,,,
MALO_02,0.974193548,0.921052632,0.977011494,0.975308642,0.929824561,0.923497268,0.668246445,0,,,,,,,,
MAPI_01,0.967213115,0.949579832,0.971631206,0.953488372,0.927536232,0.92,0.876404494,0.796791444,0,,,,,,,
MAPI_02,0.936,0.901639344,0.972222222,0.954545455,0.929078014,0.921568627,0.834254144,0.747368421,0.554140127,0,,,,,,
MIND_01,0.897058824,0.834586466,0.883870968,0.874125874,0.815789474,0.780487805,0.8125,0.870646766,0.845238095,0.83625731,0,,,,,
RIBR_01,0.770992366,0.75,0.813333333,0.855072464,0.741496599,0.710691824,0.860962567,0.908163265,0.889570552,0.903614458,0.762711864,0,,,,
VERD_01,0.947368421,1,0.915789474,0.951807229,1,0.980769231,1,1,1,1,0.983606557,0.965811966,0,,,
VERD_02,0.81443299,0.872340426,0.793103448,0.788461538,0.96460177,0.936,0.947712418,1,0.984496124,0.984848485,0.93006993,0.913043478,0.734939759,0,,
VERD_03,0.785714286,0.802469136,0.786407767,0.802197802,0.96,0.964285714,0.942857143,0.986577181,1,0.983193277,0.953846154,0.92,0.6,0.494505495,0,
YANA_01,1,1,0.975308642,1,1,1,1,1,1,1,1,1,0.583333333,0.884057971,0.821428571,0
