Plot,Scientific_name,Elevation,Genus,Species,Species_acronimum,N.TREE,WD_g_cm3,Ht2019_m,Sum_BA_2019.m2.,Mean.LBT_mm,Mean.LA_cm2,Mean.SLA_cm2_g,Mean.LDMC_mg_g,Mean.N.por,Mean.P.por,Mean.P.mg.g,Mean.K.mg.g,Mean.Ca.mg.g,Mean.Mg.mg.g,Mean.Fe.mg.g,Mean.Na.mg.g,Mean.Al.mg.g,Mean.Cu.mg.g,Mean.Pb.mg.g,Mean.Mn.mg.g,Mean.As.mg.g
BECL_01,Aegiphila monticola,2313,Aegiphila,monticola,AEGMON,1,0.656666667,18.86884891,0.103906607,0.235083333,285.8568333,202.0326667,637.5221684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_01,Axinaea quitensis,2313,Axinaea,quitensis,AXIQUI,2,0.558994512,18.05162204,1.076343417,0.253961539,52.455,83.89461539,368.3955282,2.255338573,0.0995721,0.995721,4.85268175,6.6689705,1.13107625,0.06442725,0.072025,3.061483,0.0074035,0.002059,0.252621,-0.00085225
BECL_01,Croton floccosus,2313,Croton,floccosus,CROFLO,3,0.510402667,20.52189776,1.210907252,0.329615385,72.66674359,107.9552693,276.1119577,1.823333333,0.164259984,1.642599834,16.6762715,15.74479767,3.622906667,0.144607167,0.598127167,0.2002725,0.015950167,0.001381667,0.142711667,0.001907667
BECL_01,Guarea kunthiana,2313,Guarea,kunthiana,GUAKUN,2,0.616166667,8.172001543,0.005608528,0.368833334,355.5244231,64.33087821,361.2692036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_01,Hedyosmum cuatrecazanum,2313,Hedyosmum,cuatrecazanum,HEDCUA,4,0.45,10.39817736,0.026939942,0.324541667,51.79144375,162.3055796,124.3876639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_01,Meriania maxima,2313,Meriania,maxima,MERMAX,1,0.49,17.38457843,0.04720243,0.315230769,122.2387692,143.3914615,193.1626228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_01,Miconia clathrantha,2313,Miconia,clathrantha,MICCLA,3,0.629222222,15.70081261,1.945059759,0.247948718,74.49579486,139.4778886,264.319283,2.97,0.132899884,1.328998834,9.702424332,30.825376,2.361673834,0.188261667,0.5111465,21.47067834,0.021019167,0.00080675,0.1238515,0.002705
BECL_01,Miconia theaezans,2313,Miconia,theaezans,MICTHE,3,0.629222222,15.95652035,0.832829145,0.211882479,48.42272008,179.7794133,225.1622484,2.454444444,0.160716367,1.607163667,15.11278645,40.81648389,2.287922889,0.180584889,0.660639445,23.89350489,0.038625444,NA,0.164949,0.002372667
BECL_01,Nectandra subbullata,2313,Nectandra,subbullata,NECSUB,2,0.562449275,17.8615806,0.21395424,0.323253205,122.4278686,62.91605769,424.5063485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_01,Sapium stylare,2313,Sapium,stylare,SAPSTY,3,0.47,19.10231079,0.222727923,0.351384616,48.57879487,60.33564103,344.3683751,1.738227213,0.086990433,0.869904333,4.804248333,10.46384933,1.273475667,0.0397655,0.155905167,0.025422333,0.005744667,-0.000535333,0.032438,-8.37E-05
BECL_01,Saurauia prainiana,2313,Saurauia,prainiana,SAUPRA,2,0.4106,9.878732591,0.058421842,0.331307692,161.1574616,134.8829616,197.2029076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_01,Saurauia tomentosa,2313,Saurauia,tomentosa,SAUTOM,3,0.4106,12.13853043,0.237734526,0.299214286,261.0219743,128.5635057,199.2859295,2.586666667,0.2315109,2.315109,13.951346,39.929592,10.20652367,0.167819667,0.413772333,0.608069,0.028699,0.0016105,0.039705667,0.001
BECL_01,Weinmannia balbisiana,2313,Weinmannia,balbisiana,WEIBAL,3,0.611854167,12.21514241,0.13994303,0.299051282,27.94651282,128.4885128,309.1666143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_03,Aegiphila aculeifera,2203,Aegiphila,aculeifera,AEGACU,1,0.656666667,12.68747598,0.021903969,0.239846154,135.1456154,219.5671538,193.655864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECL_03,Aegiphila lopez-palacii var. pubescens,2203,Aegiphila,lopez-palacii var. pubescens,AEGLOP,2,0.656666667,7.771728938,0.063861511,0.342114286,203.5831715,312.3089286,298.6287368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
