"AGC","AGCnc","AGCp","PCA1_temp","AP","PC1.p","PC2.p","C_N","N","C","S"
NA,0.113033866214368,0.0485802888870239,0.0238576461278064,0.0444874601331013,0.116149561666613,0.494265105895282,0.922480570501729,0.0103135155496776,0.0244365114245058,0.00273108888547924
0.113033866214368,NA,0.00551142233634372,0.00442714644189923,0.0129699472999554,0.00221749195375409,0.494265105895282,0.411666430497963,0.0717684158405381,0.464464211225739,0.0811278278413428
0.0485802888870239,0.00551142233634372,NA,0.0336132774006908,0.0207596006828017,0.0337298205830172,0.501318594604398,0.4990748572458,0.444284641052144,0.982750504419135,0.444173331482832
0.0238576461278064,0.00442714644189923,0.0336132774006908,NA,6.60595636403638e-05,0.000180441186615532,0.422809488459783,0.21900083293368,0.00978566944671799,0.185498978789089,0.0201263874538427
0.0444874601331013,0.0129699472999554,0.0207596006828017,6.60595636403638e-05,NA,0.0028467620254915,0.170271922041187,0.433671879962845,0.0902063725604467,0.460395986929452,0.0214322456405078
0.116149561666613,0.00221749195375409,0.0337298205830172,0.000180441186615532,0.0028467620254915,NA,0.232248880066064,0.198655173514461,0.16721153262051,0.75689995309225,0.0256504529745989
0.494265105895282,0.494265105895282,0.501318594604398,0.422809488459783,0.170271922041187,0.232248880066064,NA,0.0983955793142408,0.257463104888999,0.345999931106935,0.867638308315017
0.922480570501729,0.411666430497963,0.4990748572458,0.21900083293368,0.433671879962845,0.198655173514461,0.0983955793142408,NA,0.625106429151613,0.338789908071246,0.874466495441956
0.0103135155496776,0.0717684158405381,0.444284641052144,0.00978566944671799,0.0902063725604467,0.16721153262051,0.257463104888999,0.625106429151613,NA,7.18727304160893e-06,0.0100544707290844
0.0244365114245058,0.464464211225739,0.982750504419135,0.185498978789089,0.460395986929452,0.75689995309225,0.345999931106935,0.338789908071246,7.18727304160893e-06,NA,0.0513358606977681
0.00273108888547924,0.0811278278413428,0.444173331482832,0.0201263874538427,0.0214322456405078,0.0256504529745989,0.867638308315017,0.874466495441956,0.0100544707290844,0.0513358606977681,NA
