"","Observed_values","Null_values","Z_score","CI_low","CI_high"
"632-653",0.847281564101673,0.971963620139318,-8.50942421821848,0.970489424579469,0.973437815699165
"653-827",0.895765136061348,0.972199339112759,-0.260599516033081,0.970749424255874,0.973649253969644
"827-1018",0.9467510424778,0.971394303465804,-11.2723477274802,0.969808444936332,0.972980161995275
"1018-1277",0.979170538611774,0.97284475896761,-3.11491227471982,0.971487869259521,0.974201648675699
"1277-1640",0.936068422827985,0.972114774095242,-3.28156073306878,0.970644687039445,0.973584861151041
"1640-1829",0.932034654265882,0.97272490308583,-3.26529565819961,0.971305567767527,0.974144238404133
"1829-1879",0.980726376585142,0.971281685273255,-17.3118913178619,0.969755054123781,0.972808316422728
"1879-2203",0.976192186261238,0.971412536022499,-1.83420586718965,0.969979641668588,0.972845430376411
"2203-2212",0.980602755549767,0.9716909179651,-2.4989402116128,0.969993966848018,0.973387869082183
"2212-2313",0.999482929398062,0.971776496954326,-3.53234782820757,0.970296810067223,0.973256183841428
"2313-2492",0.981809130516289,0.971374076813983,-5.66863655323934,0.969835335877699,0.972912817750264
"2492-2932",0.966848351358703,0.971817913527179,-3.20703909441583,0.970307599013136,0.973328228041223
"2932-3109",0.997278013661643,0.970806898498282,-17.0817277379052,0.969244794694758,0.972369002301806
"3109-3421",0.889368343848255,0.972552586568224,-8.4077693451141,0.971094819727442,0.974010353409004
"3421-3507",0.972692216470473,0.971719568500581,-7.86997844560293,0.970177496979172,0.973261640021992
